
I V X L C D M

   1 1, I              1                                                          
   2 2, II             1 1
   3 3, III            1 1 1
   4 4, IV             1 5
   5 5, V              5
   6 6, VI             5 1
   7 7, VII            5 1 1
   8 8, VIII           5 1 1 1
   9 9, IX             1 10
  10 10, X             10 
  11                   10 1
  12                   10 1 1
  13                   10 1 1 1
  14                   10 1 5
  15                   10 5
  16                   10 5 1
  17                   10 5 1 1
  18                   10 5 1 1 1
  19                   10 1 10
  20                   10 10
  30    XXX

  40    XL
